iter	Passed	Remaining
0	1	1990
1	3	1723
2	4	1624
3	6	1559
4	7	1524
5	9	1495
6	10	1466
7	11	1457
8	13	1448
9	14	1443
10	15	1430
11	17	1425
12	18	1419
13	20	1412
14	21	1411
15	22	1410
16	24	1401
17	25	1396
18	26	1392
19	28	1388
20	29	1384
21	30	1376
22	32	1371
23	33	1368
24	34	1364
25	36	1362
26	37	1358
27	39	1357
28	40	1354
29	41	1348
30	43	1350
31	44	1351
32	46	1350
33	47	1349
34	48	1347
35	50	1344
36	51	1342
37	52	1340
38	54	1338
39	55	1336
40	57	1335
41	58	1334
42	59	1333
43	61	1333
44	62	1332
45	64	1331
46	65	1329
47	66	1328
48	68	1324
49	69	1321
50	70	1319
51	72	1317
52	73	1316
53	75	1314
54	76	1313
55	77	1311
56	79	1310
57	80	1309
58	81	1307
59	83	1306
60	84	1304
61	86	1301
62	87	1300
63	88	1298
64	90	1296
65	91	1296
66	92	1294
67	94	1292
68	95	1290
69	97	1289
70	98	1289
71	100	1291
72	101	1289
73	103	1291
74	104	1290
75	105	1288
76	107	1285
77	108	1283
78	110	1282
79	111	1280
80	112	1278
81	114	1276
82	115	1274
83	116	1273
84	118	1271
85	119	1269
86	120	1267
87	122	1264
88	123	1262
89	124	1261
90	126	1259
91	127	1257
92	128	1255
93	130	1253
94	131	1251
95	132	1249
96	134	1248
97	135	1247
98	136	1245
99	138	1243
100	139	1241
101	140	1239
102	142	1238
103	143	1236
104	144	1235
105	146	1233
106	147	1231
107	148	1229
108	150	1227
109	151	1225
110	152	1225
111	154	1227
112	156	1225
113	157	1224
114	159	1226
115	160	1224
116	162	1223
117	163	1224
118	165	1226
119	166	1224
120	168	1222
121	169	1222
122	171	1222
123	172	1221
124	174	1223
125	176	1221
126	177	1219
127	179	1220
128	180	1219
129	182	1218
130	183	1217
131	184	1216
132	186	1217
133	188	1216
134	189	1214
135	190	1212
136	192	1213
137	193	1211
138	195	1210
139	197	1211
140	198	1209
141	200	1208
142	201	1208
143	203	1207
144	204	1207
145	206	1206
146	208	1207
147	209	1207
148	211	1205
149	212	1203
150	214	1203
151	215	1204
152	217	1202
153	218	1200
154	219	1199
155	221	1200
156	223	1199
157	224	1197
158	226	1196
159	228	1197
160	229	1195
161	230	1193
162	232	1194
163	234	1193
164	235	1191
165	237	1191
166	238	1189
167	239	1188
168	241	1189
169	243	1187
170	244	1186
171	246	1184
172	247	1184
173	249	1183
174	250	1180
175	252	1181
176	253	1179
177	255	1177
178	256	1177
179	258	1175
180	259	1174
181	261	1175
182	262	1173
183	264	1171
184	265	1169
185	267	1170
186	269	1169
187	270	1168
188	271	1166
189	273	1164
190	275	1164
191	276	1163
192	278	1163
193	279	1162
